COMMON_NAME,BLD_ADDRESS,PARCEL_ADDRESS,STRUCTURE_TYPE,WARD,COMMUNITY,GLOBALID,MULTIPOLYGON
VALLEY RIDGE SCRUBBER,6 VALLEY POINTE LI NW,,WATER/WASTE WATER TREATMENT PLANT,WARD 1,VALLEY RIDGE,{1B45D58D-1382-4BB2-89D5-875A29E406AF},"MULTIPOLYGON (((-114.2702996 51.0925142, -114.2703002 51.0925142, -114.2703008 51.092514, -114.2703014 51.0925139, -114.2703019 51.0925137, -114.2703023 51.0925134, -114.2703027 51.0925131, -114.270303 51.0925127, -114.2703031 51.0925123, -114.2703032 51.0925119, -114.2703031 51.0925115, -114.2703029 51.0925112, -114.2703027 51.0925108, -114.2703023 51.0925105, -114.2703019 51.0925102, -114.2703014 51.09251, -114.2703008 51.0925098, -114.2703002 51.0925097, -114.2702996 51.0925097, -114.270299 51.0925097, -114.2702984 51.0925098, -114.2702978 51.09251, -114.2702973 51.0925102, -114.2702969 51.0925105, -114.2702965 51.0925108, -114.2702962 51.0925112, -114.2702961 51.0925116, -114.270296 51.0925119, -114.2702961 51.0925123, -114.2702962 51.0925127, -114.2702965 51.0925131, -114.2702969 51.0925134, -114.2702973 51.0925137, -114.2702978 51.0925139, -114.2702984 51.0925141, -114.270299 51.0925142, -114.2702996 51.0925142)))"
#13 6504 35 AV NW HOUSING,#13 6504 35 AV NW,6504 35 AV NW,HOUSING - TOWNHOUSE,WARD 1,BOWNESS,{9DD2BDF9-536C-4424-A51B-E60561FC3D1B},"MULTIPOLYGON (((-114.1835336 51.084851, -114.1836609 51.0848536, -114.1836619 51.0848128, -114.1835346 51.0848102, -114.1835336 51.084851)))"
#5 6504 35 AV NW HOUSING,#5 6504 35 AV NW,6504 35 AV NW,HOUSING - TOWNHOUSE,WARD 1,BOWNESS,{2C3779B6-0EC5-4FB4-9BEE-BEA807148930},"MULTIPOLYGON (((-114.1835379 51.0844868, -114.1836634 51.0844898, -114.1836644 51.0844482, -114.1835389 51.0844454, -114.1835379 51.0844868)))"
BEARSPAW WTP RESIDUAL TRMT FACILITY,10050 BEARSPAW DAM RD NW,10010 BEARSPAW DAM RD NW,WATER/WASTE WATER TREATMENT PLANT,WARD 1,01B,{5022380E-CC09-4970-AE23-24A3C1BE8B29},"MULTIPOLYGON (((-114.2325751 51.1038549, -114.2325735 51.103855, -114.2325676 51.1038557, -114.2318762 51.1039345, -114.2318754 51.1039346, -114.2318741 51.1039347, -114.2319078 51.1040512, -114.2319084 51.1040532, -114.2319298 51.1041275, -114.2319391 51.1041596, -114.2319732 51.1042774, -114.2319739 51.1042799, -114.2320026 51.1043793, -114.2319112 51.1043897, -114.2319119 51.1043922, -114.2319686 51.1045894, -114.2319698 51.1045934, -114.2319712 51.1045985, -114.2321665 51.1045763, -114.2321936 51.1046705, -114.2321944 51.1046732, -114.2324983 51.1046386, -114.2324703 51.1045412, -114.2327802 51.1045058, -114.2327208 51.1042993, -114.2327034 51.1043013, -114.2326392 51.1040781, -114.2325751 51.1038549)))"
BEARSPAW WTP CO2 STORAGE TANK,10010 BEARSPAW DAM RD NW,10010 BEARSPAW DAM RD NW,WATER/WASTE WATER TREATMENT PLANT,WARD 1,01B,{2D5ECFA9-A57B-4972-86DB-127C401A6676},"MULTIPOLYGON (((-114.2311241 51.1054732, -114.2310763 51.1053005, -114.2310465 51.1053038, -114.2310943 51.1054765, -114.2311241 51.1054732)))"
#14 6504 35 AV NW HOUSING,#14 6504 35 AV NW,6504 35 AV NW,HOUSING - TOWNHOUSE,WARD 1,BOWNESS,{37D793C6-E910-40A2-8FE4-9832D145690A},"MULTIPOLYGON (((-114.1835336 51.084851, -114.1835326 51.0848933, -114.1836599 51.0848945, -114.1836609 51.0848536, -114.1835336 51.084851)))"
#7 6504 35 AV NW HOUSING,#7 6504 35 AV NW,6504 35 AV NW,HOUSING - TOWNHOUSE,WARD 1,BOWNESS,{CDC61324-571D-4F16-B368-F25D85E15C2B},"MULTIPOLYGON (((-114.1835399 51.0845671, -114.1836716 51.0845695, -114.1836727 51.0845281, -114.1836624 51.0845279, -114.1835408 51.0845265, -114.1835399 51.0845671)))"
BEARSPAW RAW I,13401 BEARSPAW DAM RD NW,5610 133 ST NW;5660 133 ST NW;5665 133 ST NW,PUMP STATION,WARD 1,HASKAYNE,{AEDB9A78-7769-492E-9EB9-F82BC66463EB},"MULTIPOLYGON (((-114.280892 51.1017801, -114.2808174 51.1017859, -114.2808022 51.101787, -114.2804499 51.101814, -114.2804735 51.101936, -114.2808177 51.1019096, -114.2809156 51.1019021, -114.2809153 51.1019005, -114.280892 51.1017801)))"
BOWNESS PARK SANITARY LIFT STATION,4951 85 ST NW,8900 48 AV NW,LIFT STATION,WARD 1,BOWNESS,{514109C4-0B05-43E1-B6EB-085E80DBC1E2},"MULTIPOLYGON (((-114.2111478 51.0975452, -114.2111081 51.0975601, -114.211075 51.0975726, -114.2111079 51.0976074, -114.2111282 51.0976287, -114.2112012 51.0976013, -114.2111478 51.0975452)))"
BOWNESS COMMUNITY ASSOCIATION,7904 43 AV NW,7904 43 AV NW,ARENA,WARD 1,BOWNESS,{B9A41426-5540-42B3-BDDE-B434A4B80E45},"MULTIPOLYGON (((-114.2003895 51.0913942, -114.2003902 51.0914475, -114.2003902 51.0914504, -114.2002352 51.0914502, -114.1995805 51.0914504, -114.1995508 51.0914504, -114.1995508 51.0914587, -114.1995514 51.0917802, -114.199963 51.0917799, -114.2003746 51.0917796, -114.2003736 51.0918379, -114.2005626 51.0918368, -114.2005625 51.0918419, -114.2007559 51.0918423, -114.2007562 51.091789, -114.2011037 51.0917896, -114.2011023 51.0914518, -114.2007563 51.0914523, -114.2007561 51.0913986, -114.2005702 51.0913989, -114.2005703 51.0913956, -114.2005146 51.0913952, -114.2003895 51.0913942)))"
